fifa_team,project_team
Algeria,Algeria
Argentina,Argentina
Australia,Australia
Austria,Austria
Belgium,Belgium
Bosnia And Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
Canada,Canada
Cabo Verde,Cape Verde
Cape Verde,Cape Verde
Colombia,Colombia
Congo DR,DR Congo
Costa Rica,Costa Rica
Côte D'Ivoire,Ivory Coast
Croatia,Croatia
Curaçao,Curacao
Czechia,Czechia
Ecuador,Ecuador
Egypt,Egypt
England,England
France,France
Germany,Germany
Ghana,Ghana
Haiti,Haiti
IR Iran,Iran
Iraq,Iraq
Japan,Japan
Jordan,Jordan
Korea Republic,South Korea
Mexico,Mexico
Morocco,Morocco
Netherlands,Netherlands
New Zealand,New Zealand
Norway,Norway
Panama,Panama
Paraguay,Paraguay
Portugal,Portugal
Qatar,Qatar
Saudi Arabia,Saudi Arabia
Scotland,Scotland
Senegal,Senegal
South Africa,South Africa
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Tunisia,Tunisia
Türkiye,Turkiye
USA,United States
United States,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
