stage,group,home_team,away_team,home_score,away_score
group,K,Portugal,DR Congo,1,1
group,L,England,Croatia,4,2
group,L,Ghana,Panama,1,0
group,K,Uzbekistan,Colombia,1,3
group,D,United States,Australia,2,0
group,C,Scotland,Morocco,0,1
group,C,Brazil,Haiti,3,0
group,D,Turkiye,Paraguay,0,1
group,F,Netherlands,Sweden,5,1
group,A,Mexico,South Africa,2,0
group,A,South Korea,Czechia,2,1
group,B,Canada,Bosnia and Herzegovina,1,1
group,D,United States,Paraguay,4,1
group,B,Qatar,Switzerland,1,1
group,C,Brazil,Morocco,1,1
group,C,Haiti,Scotland,0,1
group,D,Australia,Turkiye,2,0
group,E,Germany,Curacao,7,1
group,F,Netherlands,Japan,2,2
group,E,Ivory Coast,Ecuador,1,0
group,F,Sweden,Tunisia,5,1
group,H,Spain,Cape Verde,0,0
group,G,Belgium,Egypt,1,1
group,H,Saudi Arabia,Uruguay,1,1
group,G,Iran,New Zealand,2,2
group,I,France,Senegal,3,1
group,I,Iraq,Norway,1,4
group,J,Argentina,Algeria,3,0
group,J,Austria,Jordan,3,1
group,A,Czechia,South Africa,1,1
group,B,Switzerland,Bosnia and Herzegovina,4,1
group,B,Canada,Qatar,6,0
group,A,Mexico,South Korea,1,0
group,E,Germany,Ivory Coast,2,1
group,E,Ecuador,Curacao,0,0
group,F,Tunisia,Japan,0,4
group,H,Spain,Saudi Arabia,4,0
group,G,Belgium,Iran,0,0
group,H,Uruguay,Cape Verde,2,2
group,G,New Zealand,Egypt,1,3
group,J,Argentina,Austria,2,0
group,I,France,Iraq,3,0
group,I,Norway,Senegal,3,2
group,J,Jordan,Algeria,1,2
group,K,Portugal,Uzbekistan,5,0
group,L,England,Ghana,0,0
group,L,Panama,Croatia,0,1
group,K,Colombia,DR Congo,1,0
group,B,Switzerland,Canada,2,1
group,B,Bosnia and Herzegovina,Qatar,3,1
group,C,Scotland,Brazil,0,3
group,C,Morocco,Haiti,4,2
group,A,Czechia,Mexico,0,3
group,A,South Africa,South Korea,1,0
