tournament_name,model_name
Mexico,Mexico
South Africa,South Africa
South Korea,South Korea
Czechia,Czech Republic
Canada,Canada
Bosnia and Herzegovina,Bosnia and Herzegovina
Qatar,Qatar
Switzerland,Switzerland
Brazil,Brazil
Haiti,Haiti
Morocco,Morocco
Scotland,Scotland
United States,United States
Paraguay,Paraguay
Turkiye,Turkey
Australia,Australia
Germany,Germany
Curacao,Curacao
Ecuador,Ecuador
Ivory Coast,Ivory Coast
Netherlands,Netherlands
Japan,Japan
Tunisia,Tunisia
Sweden,Sweden
Belgium,Belgium
Egypt,Egypt
Iran,Iran
New Zealand,New Zealand
Spain,Spain
Cape Verde,Cape Verde
Saudi Arabia,Saudi Arabia
Uruguay,Uruguay
France,France
Senegal,Senegal
Iraq,Iraq
Norway,Norway
Argentina,Argentina
Algeria,Algeria
Austria,Austria
Jordan,Jordan
Portugal,Portugal
DR Congo,DR Congo
Uzbekistan,Uzbekistan
Colombia,Colombia
England,England
Croatia,Croatia
Ghana,Ghana
Panama,Panama
